images,category
0\genuine_3_54337.jpg,0
1\fake_1_29501.jpg,1
0\genuine_2_29305.jpg,0
2\print_1_733.jpg,2
0\genuine_4_61080.jpg,0
1\fake_4_204140.jpg,1
0\genuine_2_21792.jpg,0
2\print_1_3418.jpg,2
1\fake_1_54142.jpg,1
1\fake_2_77266.jpg,1
1\fake_3_119839.jpg,1
0\genuine_2_37282.jpg,0
1\fake_2_113366.jpg,1
0\genuine_3_47904.jpg,0
1\fake_1_40025.jpg,1
2\print_1_429.jpg,2
2\print_2_4420.jpg,2
0\genuine_1_2271.jpg,0
2\print_1_3314.jpg,2
1\fake_3_160925.jpg,1
2\print_1_2659.jpg,2
1\fake_1_6295.jpg,1
2\print_1_3444.jpg,2
2\print_1_3789.jpg,2
2\print_2_5483.jpg,2
2\print_2_4511.jpg,2
0\genuine_3_41386.jpg,0
1\fake_2_91143.jpg,1
1\fake_4_178761.jpg,1
1\fake_1_15515.jpg,1
0\genuine_1_19580.jpg,0
1\fake_2_61876.jpg,1
0\genuine_1_19503.jpg,0
2\print_2_4120.jpg,2
2\print_2_6714.jpg,2
2\print_2_7221.jpg,2
2\print_2_7173.jpg,2
0\genuine_5_85817.jpg,0
0\genuine_4_70064.jpg,0
1\fake_4_216715.jpg,1
0\genuine_5_82715.jpg,0
0\genuine_4_77478.jpg,0
1\fake_2_75748.jpg,1
0\genuine_4_66709.jpg,0
0\genuine_2_31639.jpg,0
1\fake_3_166742.jpg,1
0\genuine_3_41589.jpg,0
1\fake_6_237417.jpg,1
0\genuine_1_9335.jpg,0
1\fake_3_167842.jpg,1
2\print_1_3319.jpg,2
0\genuine_2_25886.jpg,0
0\genuine_1_7814.jpg,0
1\fake_3_163901.jpg,1
1\fake_2_97641.jpg,1
1\fake_6_237135.jpg,1
2\print_2_4176.jpg,2
0\genuine_4_71058.jpg,0
0\genuine_4_61836.jpg,0
1\fake_3_128710.jpg,1
0\genuine_4_69746.jpg,0
2\print_1_2565.jpg,2
2\print_1_460.jpg,2
0\genuine_5_87776.jpg,0
1\fake_1_35391.jpg,1
0\genuine_4_69754.jpg,0
0\genuine_2_29432.jpg,0
2\print_1_2314.jpg,2
2\print_2_4935.jpg,2
1\fake_1_47742.jpg,1
2\print_2_5644.jpg,2
1\fake_3_169707.jpg,1
1\fake_1_23008.jpg,1
1\fake_1_19468.jpg,1
1\fake_1_8436.jpg,1
0\genuine_5_85718.jpg,0
1\fake_5_235499.jpg,1
0\genuine_1_11535.jpg,0
1\fake_3_150577.jpg,1
0\genuine_5_84293.jpg,0
2\print_2_7662.jpg,2
1\fake_3_149833.jpg,1
1\fake_1_10219.jpg,1
2\print_2_5436.jpg,2
0\genuine_5_86810.jpg,0
1\fake_2_109763.jpg,1
1\fake_2_94997.jpg,1
0\genuine_4_72338.jpg,0
0\genuine_5_85872.jpg,0
1\fake_1_14697.jpg,1
0\genuine_2_26521.jpg,0
2\print_1_1961.jpg,2
1\fake_1_45347.jpg,1
2\print_1_3946.jpg,2
0\genuine_4_72847.jpg,0
2\print_2_7776.jpg,2
0\genuine_3_48869.jpg,0
2\print_1_1374.jpg,2
2\print_2_7051.jpg,2
1\fake_8_248284.jpg,1
2\print_1_844.jpg,2
1\fake_3_157225.jpg,1
1\fake_1_13075.jpg,1
2\print_1_1000.jpg,2
0\genuine_2_23079.jpg,0
1\fake_1_11800.jpg,1
0\genuine_4_63120.jpg,0
0\genuine_5_82012.jpg,0
2\print_2_4666.jpg,2
0\genuine_1_13918.jpg,0
0\genuine_1_11263.jpg,0
1\fake_3_163337.jpg,1
1\fake_1_53456.jpg,1
1\fake_1_19041.jpg,1
0\genuine_5_82275.jpg,0
2\print_1_981.jpg,2
2\print_2_7115.jpg,2
2\print_1_1599.jpg,2
1\fake_7_241462.jpg,1
2\print_1_2701.jpg,2
1\fake_3_121479.jpg,1
2\print_2_6892.jpg,2
2\print_1_2154.jpg,2
0\genuine_4_60569.jpg,0
0\genuine_2_36079.jpg,0
2\print_2_5592.jpg,2
2\print_2_4959.jpg,2
2\print_2_6163.jpg,2
0\genuine_3_51738.jpg,0
0\genuine_3_42638.jpg,0
0\genuine_4_64479.jpg,0
2\print_2_5016.jpg,2
0\genuine_2_22322.jpg,0
1\fake_3_132865.jpg,1
0\genuine_4_69395.jpg,0
2\print_2_5456.jpg,2
0\genuine_2_25587.jpg,0
0\genuine_2_32153.jpg,0
0\genuine_4_71831.jpg,0
1\fake_8_247562.jpg,1
2\print_1_263.jpg,2
1\fake_4_218987.jpg,1
0\genuine_2_37812.jpg,0
0\genuine_4_75483.jpg,0
2\print_1_3781.jpg,2
0\genuine_1_5402.jpg,0
2\print_2_7965.jpg,2
1\fake_2_91789.jpg,1
1\fake_3_167203.jpg,1
2\print_1_3231.jpg,2
2\print_2_7907.jpg,2
2\print_1_3349.jpg,2
1\fake_4_197211.jpg,1
1\fake_2_88032.jpg,1
2\print_1_1480.jpg,2
2\print_2_4712.jpg,2
1\fake_2_93000.jpg,1
0\genuine_3_54907.jpg,0
2\print_1_2126.jpg,2
1\fake_1_8743.jpg,1
2\print_1_639.jpg,2
0\genuine_4_63148.jpg,0
0\genuine_1_4964.jpg,0
2\print_1_3396.jpg,2
0\genuine_2_25646.jpg,0
2\print_1_3116.jpg,2
1\fake_2_58281.jpg,1
1\fake_1_12642.jpg,1
0\genuine_3_57486.jpg,0
1\fake_1_27853.jpg,1
2\print_2_5494.jpg,2
0\genuine_4_68422.jpg,0
1\fake_1_13487.jpg,1
1\fake_3_149652.jpg,1
2\print_1_916.jpg,2
1\fake_3_151388.jpg,1
1\fake_3_159279.jpg,1
0\genuine_1_6102.jpg,0
0\genuine_3_44624.jpg,0
1\fake_3_159000.jpg,1
1\fake_1_38734.jpg,1
2\print_1_3448.jpg,2
2\print_2_7210.jpg,2
2\print_1_3010.jpg,2
2\print_1_526.jpg,2
2\print_1_3343.jpg,2
0\genuine_4_68234.jpg,0
2\print_1_1432.jpg,2
1\fake_1_20926.jpg,1
1\fake_4_200186.jpg,1
1\fake_2_98027.jpg,1
0\genuine_2_23952.jpg,0
1\fake_8_250340.jpg,1
1\fake_1_50692.jpg,1
0\genuine_1_7233.jpg,0
1\fake_1_57840.jpg,1
1\fake_2_84786.jpg,1
2\print_1_3262.jpg,2
0\genuine_3_58012.jpg,0
2\print_2_5081.jpg,2
2\print_1_3716.jpg,2
0\genuine_4_69475.jpg,0
0\genuine_4_64723.jpg,0
1\fake_3_163710.jpg,1
